lookup_subcounty,lookup_ward,county_corrected
Changamwe,Port Reitz,Mombasa
Changamwe,Kipevu,Mombasa
Changamwe,Airport,Mombasa
Changamwe,Changamwe,Mombasa
Changamwe,Chaani,Mombasa
Jomvu,Jomvu Kuu,Mombasa
Jomvu,Miritini,Mombasa
Jomvu,Mikindani,Mombasa
Kisauni,Mjambere,Mombasa
Kisauni,Junda,Mombasa
Kisauni,Bamburi,Mombasa
Kisauni,Mwakirunge,Mombasa
Kisauni,Mtopanga,Mombasa
Kisauni,Magogoni,Mombasa
Kisauni,Shanzu,Mombasa
Nyali,Frere Town,Mombasa
Nyali,Ziwa La NgOmbe,Mombasa
Nyali,Mkomani,Mombasa
Nyali,Kongowea,Mombasa
Nyali,Kadzandani,Mombasa
Likoni,Mtongwe,Mombasa
Likoni,Shika Adabu,Mombasa
Likoni,Bofu,Mombasa
Likoni,Likoni,Mombasa
Likoni,Timbwani,Mombasa
Mvita,Mji Wa Kale/Makadara,Mombasa
Mvita,Tudor,Mombasa
Mvita,Tononoka,Mombasa
Mvita,Shimanzi/Ganjoni,Mombasa
Mvita,Majengo,Mombasa
Msambweni,Gombatobongwe,Kwale
Msambweni,Ukunda,Kwale
Msambweni,Kinondo,Kwale
Msambweni,Ramisi,Kwale
Lungalunga,Pongwekikoneni,Kwale
Lungalunga,Dzombo,Kwale
Lungalunga,Mwereni,Kwale
Lungalunga,Vanga,Kwale
Matuga,Tsimba Golini,Kwale
Matuga,Waa,Kwale
Matuga,Tiwi,Kwale
Matuga,Kubo South,Kwale
Matuga,Mkongani,Kwale
Kinango,Nadavaya,Kwale
Kinango,Puma,Kwale
Kinango,Kinango,Kwale
Kinango,Mackinnon Road,Kwale
Kinango,Chengoni/Samburu,Kwale
Kinango,Mwavumbo,Kwale
Kinango,Kasemeni,Kwale
Kilifi North,Tezo,Kilifi
Kilifi North,Sokoni,Kilifi
Kilifi North,Kibarani,Kilifi
Kilifi North,Dabaso,Kilifi
Kilifi North,Matsangoni,Kilifi
Kilifi North,Watamu,Kilifi
Kilifi North,Mnarani,Kilifi
Kilifi South,Junju,Kilifi
Kilifi South,Mwarakaya,Kilifi
Kilifi South,Shimo La Tewa,Kilifi
Kilifi South,Chasimba,Kilifi
Kilifi South,Mtepeni,Kilifi
Kaloleni,Mariakani,Kilifi
Kaloleni,Kayafungo,Kilifi
Kaloleni,Kaloleni,Kilifi
Kaloleni,Mwanamwinga,Kilifi
Rabai,Mwawesa,Kilifi
Rabai,Ruruma,Kilifi
Rabai,Kambe/Ribe,Kilifi
Rabai,Rabai/Kisurutini,Kilifi
Ganze,Ganze,Kilifi
Ganze,Bamba,Kilifi
Ganze,Jaribuni,Kilifi
Ganze,Sokoke,Kilifi
Malindi,Jilore,Kilifi
Malindi,Kakuyuni,Kilifi
Malindi,Ganda,Kilifi
Malindi,Malindi Town,Kilifi
Malindi,Shella,Kilifi
Magarini,Marafa,Kilifi
Magarini,Magarini,Kilifi
Magarini,Gongoni,Kilifi
Magarini,Adu,Kilifi
Magarini,Garashi,Kilifi
Magarini,Sabaki,Kilifi
Garsen,Kipini East,Tana River
Garsen,Garsen South,Tana River
Garsen,Kipini West,Tana River
Garsen,Garsen Central,Tana River
Garsen,Garsen West,Tana River
Garsen,Garsen North,Tana River
Galole,Kinakomba,Tana River
Galole,Mikinduni,Tana River
Galole,Chewani,Tana River
Galole,Wayu,Tana River
Bura,Chewele,Tana River
Bura,Bura,Tana River
Bura,Bangale,Tana River
Bura,Sala,Tana River
Bura,Madogo,Tana River
Lamu East,Faza,Lamu
Lamu East,Kiunga,Lamu
Lamu East,Basuba,Lamu
Lamu West,Shella,Lamu
Lamu West,Mkomani,Lamu
Lamu West,Hindi,Lamu
Lamu West,Mkunumbi,Lamu
Lamu West,Hongwe,Lamu
Lamu West,Witu,Lamu
Lamu West,Bahari,Lamu
Taveta,Chala,Taita Taveta
Taveta,Mahoo,Taita Taveta
Taveta,Bomeni,Taita Taveta
Taveta,Mboghoni,Taita Taveta
Taveta,Mata,Taita Taveta
Wundanyi,Wundanyi/Mbale,Taita Taveta
Wundanyi,Werugha,Taita Taveta
Wundanyi,Wumingu/Kishushe,Taita Taveta
Wundanyi,Mwanda/Mgange,Taita Taveta
Mwatate,RongE,Taita Taveta
Mwatate,Mwatate,Taita Taveta
Mwatate,Bura,Taita Taveta
Mwatate,Chawia,Taita Taveta
Mwatate,Wusi/Kishamba,Taita Taveta
Voi,Mbololo,Taita Taveta
Voi,Sagalla,Taita Taveta
Voi,Kaloleni,Taita Taveta
Voi,Marungu,Taita Taveta
Voi,Kasigau,Taita Taveta
Voi,Ngolia,Taita Taveta
Garissa Township,Waberi,Garissa
Garissa Township,Galbet,Garissa
Garissa Township,Township,Garissa
Garissa Township,Iftin,Garissa
Balambala,Balambala,Garissa
Balambala,Danyere,Garissa
Balambala,Jara Jara,Garissa
Balambala,Saka,Garissa
Balambala,Sankuri,Garissa
Lagdera,Modogashe,Garissa
Lagdera,Benane,Garissa
Lagdera,Goreale,Garissa
Lagdera,Maalimin,Garissa
Lagdera,Sabena,Garissa
Lagdera,Baraki,Garissa
Dadaab,Dertu,Garissa
Dadaab,Dadaab,Garissa
Dadaab,Labasigale,Garissa
Dadaab,Damajale,Garissa
Dadaab,Liboi,Garissa
Dadaab,Abakaile,Garissa
Fafi,Bura,Garissa
Fafi,Dekaharia,Garissa
Fafi,Jarajila,Garissa
Fafi,Fafi,Garissa
Fafi,Nanighi,Garissa
Ijara,Hulugho,Garissa
Ijara,Sangailu,Garissa
Ijara,Ijara,Garissa
Ijara,Masalani,Garissa
Wajir North,Gurar,Wajir
Wajir North,Bute,Wajir
Wajir North,Korondile,Wajir
Wajir North,Malkagufu,Wajir
Wajir North,Batalu,Wajir
Wajir North,Danaba,Wajir
Wajir North,Godoma,Wajir
Wajir East,Wagberi,Wajir
Wajir East,Township,Wajir
Wajir East,Barwago,Wajir
Wajir East,Khorof/Harar,Wajir
Tarbaj,Elben,Wajir
Tarbaj,Sarman,Wajir
Tarbaj,Tarbaj,Wajir
Tarbaj,Wargadud,Wajir
Wajir West,Arbajahan,Wajir
Wajir West,Hadado/Athibohol,Wajir
Wajir West,Ademasajide,Wajir
Wajir West,Wagalla/Ganyure,Wajir
Eldas,Eldas,Wajir
Eldas,Della,Wajir
Eldas,Lakoley South/Basir,Wajir
Eldas,Elnur/Tula Tula,Wajir
Wajir South,Benane,Wajir
Wajir South,Burder,Wajir
Wajir South,Dadaja Bulla,Wajir
Wajir South,Habasswein,Wajir
Wajir South,Lagboghol South,Wajir
Wajir South,Ibrahim Ure,Wajir
Wajir South,Diif,Wajir
Mandera West,Takaba South,Mandera
Mandera West,Takaba,Mandera
Mandera West,Lag Sure,Mandera
Mandera West,Dandu,Mandera
Mandera West,Gither,Mandera
Banissa,Banissa,Mandera
Banissa,Derkhale,Mandera
Banissa,Guba,Mandera
Banissa,Malkamari,Mandera
Banissa,Kiliwehiri,Mandera
Mandera North,Ashabito,Mandera
